"NameCD" "Requirement"
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 40
41 41
42 42
43 43
44 44
45 45
46 46
47 47
48 48
49 49
50 50
51 51
52 52
53 53
54 54
55 55
56 56
57 57
58 58
59 59
60 60
61 61
62 62
63 63
64 64
65 65
66 66
67 67
68 68
69 69
70 1
70 2
70 3
70 4
70 5
70 6
70 7
70 8
70 9
70 10
70 11
70 12
70 13
70 14
70 15
70 16
70 17
70 18
70 19
70 20
70 21
70 22
70 23
70 24
70 25
70 26
70 27
70 28
70 29
70 30
70 31
70 32
70 33
70 34
70 35
70 36
70 37
70 38
70 39
70 40
70 41
70 42
70 43
70 44
70 45
70 46
70 47
70 48
70 49
70 50
70 51
70 52
70 53
70 54
70 55
70 56
70 57
70 58
70 59
70 60
70 61
70 62
70 63
70 64
70 65
70 66
70 67
70 68
70 69
